episode,reward,success,steps,epsilon,avg100
1,-2845.5,0,300,0.997,-2845.5
2,-2952.5,0,300,0.994009,-2899.0
3,-2601.0,0,300,0.991026973,-2799.6666666666665
4,-2584.0,0,300,0.988053892081,-2745.75
5,-2044.0,0,300,0.985089730404757,-2605.4
6,-2741.0,0,300,0.9821344612135428,-2628.0
7,-2419.5,0,300,0.9791880578299021,-2598.214285714286
8,-2631.0,0,300,0.9762504936564125,-2602.3125
9,-2247.0,0,300,0.9733217421754432,-2562.8333333333335
10,-2241.5,0,300,0.9704017769489168,-2530.7
11,-2586.5,0,300,0.9674905716180701,-2535.7727272727275
12,-2493.0,0,300,0.9645880999032158,-2532.2083333333335
13,-2609.5,0,300,0.9616943356035061,-2538.153846153846
14,-2083.5,0,300,0.9588092525966956,-2505.6785714285716
15,-2264.0,0,300,0.9559328248389055,-2489.5666666666666
16,-2298.0,0,300,0.9530650263643888,-2477.59375
17,-2299.5,0,300,0.9502058312852957,-2467.1176470588234
18,-2257.5,0,300,0.9473552137914398,-2455.472222222222
19,-2497.5,0,300,0.9445131481500655,-2457.684210526316
20,-2372.0,0,300,0.9416796087056153,-2453.4
21,-1917.0,0,300,0.9388545698794984,-2427.8571428571427
22,-2461.0,0,300,0.93603800616986,-2429.3636363636365
23,-2312.0,0,300,0.9332298921513504,-2424.2608695652175
24,-2288.0,0,300,0.9304302024748964,-2418.5833333333335
25,-2366.0,0,300,0.9276389118674717,-2416.48
26,-2779.0,0,300,0.9248559951318693,-2430.423076923077
27,-2258.0,0,300,0.9220814271464737,-2424.037037037037
28,-2454.0,0,300,0.9193151828650342,-2425.1071428571427
29,-2312.5,0,300,0.9165572373164391,-2421.2241379310344
30,-2512.0,0,300,0.9138075656044898,-2424.25
31,-2042.0,0,300,0.9110661429076764,-2411.9193548387098
32,-2280.0,0,300,0.9083329444789534,-2407.796875
33,-2387.5,0,300,0.9056079456455165,-2407.181818181818
34,-2457.0,0,300,0.90289112180858,-2408.6470588235293
35,-2668.0,0,300,0.9001824484431542,-2416.057142857143
36,-2179.0,0,300,0.8974819010978248,-2409.472222222222
37,-2560.5,0,300,0.8947894553945313,-2413.554054054054
38,-2111.0,0,300,0.8921050870283477,-2405.592105263158
39,-2154.0,0,300,0.8894287717672626,-2399.141025641026
40,-2142.5,0,300,0.8867604854519608,-2392.725
41,-2104.5,0,300,0.884100203995605,-2385.6951219512193
42,-2399.0,0,300,0.8814479033836181,-2386.0119047619046
43,-2205.0,0,300,0.8788035596734672,-2381.8023255813955
44,-2592.0,0,300,0.8761671489944468,-2386.5795454545455
45,-2357.5,0,300,0.8735386475474635,-2385.9333333333334
46,-2164.5,0,300,0.8709180316048211,-2381.1195652173915
47,-1908.0,0,300,0.8683052775100066,-2371.053191489362
48,-1978.0,0,300,0.8657003616774767,-2362.8645833333335
49,-2034.0,0,300,0.8631032605924442,-2356.1530612244896
50,-2359.0,0,300,0.860513950810667,-2356.21
51,-1803.5,0,300,0.857932408958235,-2345.372549019608
52,-1943.0,0,300,0.8553586117313603,-2337.6346153846152
53,-2180.0,0,300,0.8527925358961662,-2334.6603773584907
54,-1833.5,0,300,0.8502341582884777,-2325.3796296296296
55,-1770.0,0,300,0.8476834558136123,-2315.2818181818184
56,-2247.5,0,300,0.8451404054461714,-2314.0714285714284
57,-2111.5,0,300,0.8426049842298329,-2310.5175438596493
58,-1637.5,0,300,0.8400771692771434,-2298.9137931034484
59,-2412.5,0,300,0.837556937769312,-2300.8389830508477
60,-2440.5,0,300,0.835044266956004,-2303.1666666666665
61,-2026.0,0,300,0.8325391341551359,-2298.622950819672
62,-1846.5,0,300,0.8300415167526705,-2291.3306451612902
63,-1822.5,0,300,0.8275513922024125,-2283.8888888888887
64,-2017.5,0,300,0.8250687380258053,-2279.7265625
65,-2097.0,0,300,0.8225935318117279,-2276.9153846153845
66,-1931.5,0,300,0.8201257512162927,-2271.681818181818
67,-2234.5,0,300,0.8176653739626438,-2271.126865671642
68,-1969.5,0,300,0.8152123778407558,-2266.6911764705883
69,-1801.5,0,300,0.8127667407072335,-2259.949275362319
70,-2053.0,0,300,0.8103284404851119,-2256.9928571428572
71,-2132.5,0,300,0.8078974551636565,-2255.239436619718
72,-2451.5,0,300,0.8054737627981655,-2257.965277777778
73,-2468.0,0,300,0.803057341509771,-2260.8424657534247
74,-1895.5,0,300,0.8006481694852418,-2255.9054054054054
75,-2300.5,0,300,0.798246224976786,-2256.5
76,-2222.5,0,300,0.7958514863018556,-2256.0526315789475
77,-1779.5,0,300,0.79346393184295,-2249.8636363636365
78,-2085.0,0,300,0.7910835400474212,-2247.75
79,-1993.0,0,300,0.7887102894272789,-2244.525316455696
80,-1844.5,0,300,0.7863441585589971,-2239.525
81,-1686.0,0,300,0.78398512608332,-2232.6913580246915
82,-1943.5,0,300,0.7816331707050701,-2229.1646341463415
83,-1640.5,0,300,0.7792882711929549,-2222.0722891566265
84,-2277.0,0,300,0.776950406379376,-2222.7261904761904
85,-1942.0,0,300,0.7746195551602378,-2219.423529411765
86,-2040.0,0,300,0.7722956964947572,-2217.3372093023254
87,-1972.5,0,300,0.7699788094052729,-2214.522988505747
88,-2002.0,0,300,0.767668872977057,-2212.1079545454545
89,-1751.5,0,300,0.7653658663581259,-2206.932584269663
90,-1766.5,0,300,0.7630697687590515,-2202.038888888889
91,-2275.5,0,300,0.7607805594527743,-2202.846153846154
92,-1742.0,0,300,0.7584982177744161,-2197.836956521739
93,-1682.5,0,300,0.7562227231210928,-2192.2956989247314
94,-1910.0,0,300,0.7539540549517295,-2189.2925531914893
95,-1577.5,0,300,0.7516921927868743,-2182.8526315789472
96,-2100.5,0,300,0.7494371162085136,-2181.9947916666665
97,-2253.5,0,300,0.747188804859888,-2182.7319587628867
98,-1360.0,1,245,0.7449472384453084,-2174.3367346938776
99,-1636.0,0,300,0.7427123967299725,-2168.89898989899
100,-1831.0,0,300,0.7404842595397826,-2165.52
101,-1692.0,0,300,0.7382628067611632,-2153.985
102,-887.0,1,203,0.7360480183408797,-2133.33
103,-1975.0,0,300,0.7338398742858571,-2127.07
104,-2211.0,0,300,0.7316383546629995,-2123.34
105,-2219.0,0,300,0.7294434395990105,-2125.09
106,-1820.0,0,300,0.7272551092802134,-2115.88
107,-2188.0,0,300,0.7250733439523728,-2113.565
108,-2230.0,0,300,0.7228981239205157,-2109.555
109,-1731.5,0,300,0.7207294295487541,-2104.4
110,-1892.0,0,300,0.7185672412601078,-2100.905
111,-1662.5,0,300,0.7164115395363275,-2091.665
