episode,reward,success,steps,epsilon,avg100
1,-2054.5,0,300,0.999,-2054.5
2,-2044.0,0,300,0.998001,-2049.25
3,-1989.0,0,300,0.997002999,-2029.1666666666667
4,-2702.0,0,300,0.996005996001,-2197.375
5,-2156.5,0,300,0.995009990004999,-2189.2
6,-2285.5,0,300,0.994014980014994,-2205.25
7,-1930.5,0,300,0.993020965034979,-2166.0
8,-2692.0,0,300,0.9920279440699441,-2231.75
9,-2477.5,0,300,0.9910359161258742,-2259.0555555555557
10,-2566.5,0,300,0.9900448802097482,-2289.8
11,-2474.5,0,300,0.9890548353295385,-2306.590909090909
12,-2418.0,0,300,0.988065780494209,-2315.875
13,-2090.5,0,300,0.9870777147137147,-2298.5384615384614
14,-2833.5,0,300,0.986090636999001,-2336.75
15,-2629.5,0,300,0.9851045463620021,-2356.266666666667
16,-2507.0,0,300,0.98411944181564,-2365.6875
17,-1884.5,0,300,0.9831353223738244,-2337.3823529411766
18,-2785.0,0,300,0.9821521870514506,-2362.25
19,-2404.5,0,300,0.9811700348643991,-2364.4736842105262
20,-2391.5,0,300,0.9801888648295347,-2365.825
21,-2717.5,0,300,0.9792086759647052,-2382.5714285714284
22,-2640.0,0,300,0.9782294672887405,-2394.2727272727275
23,-2241.5,0,300,0.9772512378214517,-2387.6304347826085
24,-3103.0,0,300,0.9762739865836303,-2417.4375
25,-2720.5,0,300,0.9752977125970467,-2429.56
26,-2076.0,0,300,0.9743224148844496,-2415.9615384615386
27,-2383.5,0,300,0.9733480924695651,-2414.759259259259
28,-2099.5,0,300,0.9723747443770956,-2403.5
29,-2355.0,0,300,0.9714023696327185,-2401.8275862068967
30,-2346.5,0,300,0.9704309672630859,-2399.983333333333
31,-2993.5,0,300,0.9694605362958227,-2419.1290322580644
32,-2509.0,0,300,0.9684910757595269,-2421.9375
33,-2390.0,0,300,0.9675225846837673,-2420.969696969697
34,-2944.0,0,300,0.9665550620990835,-2436.3529411764707
35,-2379.5,0,300,0.9655885070369844,-2434.7285714285713
36,-2647.5,0,300,0.9646229185299474,-2440.6388888888887
37,-2386.0,0,300,0.9636582956114175,-2439.162162162162
38,-2177.0,0,300,0.9626946373158061,-2432.2631578947367
39,-1987.5,0,300,0.9617319426784903,-2420.858974358974
40,-1573.0,0,300,0.9607702107358118,-2399.6625
41,-2663.5,0,300,0.959809440525076,-2406.0975609756097
42,-1909.5,0,300,0.9588496310845509,-2394.2738095238096
43,-2980.0,0,300,0.9578907814534664,-2407.8953488372094
44,-2282.0,0,300,0.9569328906720129,-2405.034090909091
45,-2828.5,0,300,0.9559759577813409,-2414.4444444444443
46,-2166.5,0,300,0.9550199818235596,-2409.054347826087
47,-2257.0,0,300,0.9540649618417361,-2405.81914893617
48,-2694.5,0,300,0.9531108968798944,-2411.8333333333335
49,-2538.5,0,300,0.9521577859830145,-2414.418367346939
50,-2181.0,0,300,0.9512056281970315,-2409.75
51,-2403.0,0,300,0.9502544225688344,-2409.6176470588234
52,-2250.0,0,300,0.9493041681462656,-2406.548076923077
53,-2835.5,0,300,0.9483548639781193,-2414.6415094339623
54,-2672.0,0,300,0.9474065091141411,-2419.4074074074074
55,-2115.0,0,300,0.946459102605027,-2413.8727272727274
56,-2157.5,0,300,0.9455126435024219,-2409.2946428571427
57,-2243.5,0,300,0.9445671308589195,-2406.3859649122805
58,-2141.0,0,300,0.9436225637280606,-2401.810344827586
59,-2878.5,0,300,0.9426789411643326,-2409.8898305084745
60,-2980.5,0,300,0.9417362622231683,-2419.4
61,-2187.5,0,300,0.9407945259609451,-2415.598360655738
62,-2558.5,0,300,0.9398537314349842,-2417.9032258064517
63,-2548.0,0,300,0.9389138777035492,-2419.968253968254
64,-2727.5,0,300,0.9379749638258457,-2424.7734375
65,-1814.0,0,300,0.9370369888620198,-2415.376923076923
66,-2152.5,0,300,0.9360999518731578,-2411.3939393939395
67,-2146.0,0,300,0.9351638519212846,-2407.4328358208954
68,-2140.0,0,300,0.9342286880693633,-2403.5
69,-2228.5,0,300,0.933294459381294,-2400.963768115942
70,-2183.5,0,300,0.9323611649219127,-2397.8571428571427
71,-2132.0,0,300,0.9314288037569908,-2394.112676056338
72,-2759.5,0,300,0.9304973749532338,-2399.1875
73,-2216.0,0,300,0.9295668775782806,-2396.678082191781
74,-2292.5,0,300,0.9286373107007023,-2395.2702702702704
75,-2418.5,0,300,0.9277086733900016,-2395.58
76,-2384.0,0,300,0.9267809647166116,-2395.4276315789475
77,-2350.5,0,300,0.925854183751895,-2394.844155844156
78,-1518.0,0,300,0.9249283295681431,-2383.602564102564
79,-2188.5,0,300,0.9240034012385749,-2381.1329113924053
80,-2145.0,0,300,0.9230793978373364,-2378.18125
81,-2325.0,0,300,0.9221563184394991,-2377.5246913580245
82,-2100.0,0,300,0.9212341621210596,-2374.140243902439
83,-2272.5,0,300,0.9203129279589385,-2372.9156626506024
84,-2291.0,0,300,0.9193926150309796,-2371.940476190476
85,-2764.5,0,300,0.9184732224159486,-2376.5588235294117
86,-2295.0,0,300,0.9175547491935327,-2375.610465116279
87,-2633.5,0,300,0.9166371944443392,-2378.574712643678
88,-2076.0,0,300,0.9157205572498949,-2375.1363636363635
89,-2525.5,0,300,0.914804836692645,-2376.825842696629
90,-2685.5,0,300,0.9138900318559524,-2380.2555555555555
91,-2088.0,0,300,0.9129761418240965,-2377.043956043956
92,-2329.0,0,300,0.9120631656822724,-2376.521739130435
93,-2265.5,0,300,0.9111511025165902,-2375.3279569892475
94,-2139.0,0,300,0.9102399514140735,-2372.813829787234
95,-2053.5,0,300,0.9093297114626595,-2369.452631578947
96,-2056.0,0,300,0.9084203817511969,-2366.1875
97,-1962.0,0,300,0.9075119613694457,-2362.020618556701
98,-2315.0,0,300,0.9066044494080763,-2361.5408163265306
99,-2706.0,0,300,0.9056978449586682,-2365.020202020202
100,-1921.0,0,300,0.9047921471137096,-2360.58
101,-2268.5,0,300,0.9038873549665959,-2362.72
102,-2083.0,0,300,0.9029834676116293,-2363.11
103,-2178.5,0,300,0.9020804841440176,-2365.005
104,-2873.5,0,300,0.9011784036598737,-2366.72
105,-2343.0,0,300,0.9002772252562138,-2368.585
106,-2168.5,0,300,0.8993769480309576,-2367.415
107,-1927.0,0,300,0.8984775710829266,-2367.38
108,-2076.5,0,300,0.8975790935118436,-2361.225
109,-2379.0,0,300,0.8966815144183318,-2360.24
110,-1920.5,0,300,0.8957848329039134,-2353.78
111,-2198.0,0,300,0.8948890480710096,-2351.015
112,-2258.0,0,300,0.8939941590229386,-2349.415
113,-2530.5,0,300,0.8931001648639156,-2353.815
