episode,reward,success,steps,epsilon,avg100
1,-2814.0,0,300,0.997,-2814.0
2,-2984.5,0,300,0.994009,-2899.25
3,-3354.0,0,300,0.991026973,-3050.8333333333335
4,-2620.5,0,300,0.988053892081,-2943.25
5,-3059.5,0,300,0.985089730404757,-2966.5
6,-2760.5,0,300,0.9821344612135428,-2932.1666666666665
7,-2751.0,0,300,0.9791880578299021,-2906.285714285714
8,-3701.5,0,300,0.9762504936564125,-3005.6875
9,-3248.5,0,300,0.9733217421754432,-3032.6666666666665
10,-3039.5,0,300,0.9704017769489168,-3033.35
11,-2910.5,0,300,0.9674905716180701,-3022.181818181818
12,-3267.0,0,300,0.9645880999032158,-3042.5833333333335
13,-2893.0,0,300,0.9616943356035061,-3031.076923076923
14,-2757.5,0,300,0.9588092525966956,-3011.535714285714
15,-3008.0,0,300,0.9559328248389055,-3011.3
16,-2843.5,0,300,0.9530650263643888,-3000.8125
17,-2966.0,0,300,0.9502058312852957,-2998.764705882353
18,-3047.0,0,300,0.9473552137914398,-3001.4444444444443
19,-3041.0,0,300,0.9445131481500655,-3003.5263157894738
20,-1493.0,1,211,0.9416796087056153,-2928.0
21,-2908.0,0,300,0.9388545698794984,-2927.0476190476193
22,-3124.0,0,300,0.93603800616986,-2936.0
23,-2645.5,0,300,0.9332298921513504,-2923.3695652173915
24,-3005.0,0,300,0.9304302024748964,-2926.7708333333335
25,-2945.5,0,300,0.9276389118674717,-2927.52
26,-3060.5,0,300,0.9248559951318693,-2932.6346153846152
27,-2583.5,0,300,0.9220814271464737,-2919.703703703704
28,-1465.0,1,195,0.9193151828650342,-2867.75
29,-2945.0,0,300,0.9165572373164391,-2870.4137931034484
30,-2708.0,0,300,0.9138075656044898,-2865.0
31,-2956.5,0,300,0.9110661429076764,-2867.951612903226
32,-2719.0,0,300,0.9083329444789534,-2863.296875
33,-2700.0,0,300,0.9056079456455165,-2858.348484848485
34,-1224.0,1,168,0.90289112180858,-2810.279411764706
35,-2323.0,1,262,0.9001824484431542,-2796.3571428571427
36,-1856.0,1,216,0.8974819010978248,-2770.2361111111113
37,-1539.0,1,211,0.8947894553945313,-2736.9594594594596
38,-2461.5,0,300,0.8921050870283477,-2729.7105263157896
39,-2763.5,0,300,0.8894287717672626,-2730.576923076923
40,-2546.5,0,300,0.8867604854519608,-2725.975
41,-2827.5,0,300,0.884100203995605,-2728.451219512195
42,-2374.0,0,300,0.8814479033836181,-2720.0119047619046
43,-2888.0,0,300,0.8788035596734672,-2723.9186046511627
44,-2905.5,0,300,0.8761671489944468,-2728.0454545454545
45,-2636.0,0,300,0.8735386475474635,-2726.0
46,-2826.0,0,300,0.8709180316048211,-2728.1739130434785
47,-1813.0,1,240,0.8683052775100066,-2708.7021276595747
48,-1174.0,1,154,0.8657003616774767,-2676.7291666666665
49,-2561.0,0,300,0.8631032605924442,-2674.3673469387754
50,-2135.5,0,300,0.860513950810667,-2663.59
51,-2065.0,1,221,0.857932408958235,-2651.8529411764707
52,-2810.5,0,300,0.8553586117313603,-2654.903846153846
53,-2247.5,0,300,0.8527925358961662,-2647.2169811320755
54,-398.0,1,80,0.8502341582884777,-2605.564814814815
55,-2154.0,0,300,0.8476834558136123,-2597.3545454545456
56,-627.0,1,95,0.8451404054461714,-2562.1696428571427
57,-2767.5,0,300,0.8426049842298329,-2565.7719298245615
58,-994.0,1,151,0.8400771692771434,-2538.6724137931033
59,-1245.0,1,171,0.837556937769312,-2516.7457627118642
60,-409.0,1,82,0.835044266956004,-2481.616666666667
61,-994.0,1,158,0.8325391341551359,-2457.2295081967213
62,-634.0,1,112,0.8300415167526705,-2427.8225806451615
63,-986.0,1,148,0.8275513922024125,-2404.936507936508
64,-1523.0,1,216,0.8250687380258053,-2391.15625
65,-731.0,1,134,0.8225935318117279,-2365.6153846153848
66,-2488.5,0,300,0.8201257512162927,-2367.4772727272725
67,-1471.0,1,221,0.8176653739626438,-2354.097014925373
68,-2678.0,0,300,0.8152123778407558,-2358.860294117647
69,-1236.0,1,206,0.8127667407072335,-2342.586956521739
70,-816.0,1,136,0.8103284404851119,-2320.7785714285715
71,-1353.0,1,170,0.8078974551636565,-2307.1478873239435
72,-1488.0,1,237,0.8054737627981655,-2295.7708333333335
73,-701.0,1,123,0.803057341509771,-2273.9246575342468
74,-662.0,1,119,0.8006481694852418,-2252.141891891892
75,-2412.0,0,300,0.798246224976786,-2254.2733333333335
76,-1728.0,1,234,0.7958514863018556,-2247.3486842105262
77,-1178.0,1,191,0.79346393184295,-2233.461038961039
78,-1326.0,1,218,0.7910835400474212,-2221.826923076923
79,-392.0,1,74,0.7887102894272789,-2198.6645569620255
80,-1722.0,1,215,0.7863441585589971,-2192.70625
81,-1198.0,1,159,0.78398512608332,-2180.425925925926
82,-234.0,1,75,0.7816331707050701,-2156.689024390244
83,-691.0,1,102,0.7792882711929549,-2139.0301204819275
84,-1033.0,1,134,0.776950406379376,-2125.8630952380954
85,-955.0,1,143,0.7746195551602378,-2112.0882352941176
86,-457.0,1,90,0.7722956964947572,-2092.843023255814
87,-947.0,1,139,0.7699788094052729,-2079.6724137931033
88,-809.0,1,130,0.767668872977057,-2065.2329545454545
89,-182.0,1,56,0.7653658663581259,-2044.073033707865
90,-709.0,1,120,0.7630697687590515,-2029.2388888888888
91,-856.0,1,161,0.7607805594527743,-2016.3461538461538
92,-972.0,1,172,0.7584982177744161,-2004.9945652173913
93,-2263.0,0,300,0.7562227231210928,-2007.768817204301
94,-1398.0,1,227,0.7539540549517295,-2001.281914893617
95,-753.0,1,137,0.7516921927868743,-1988.1421052631579
96,-636.0,1,112,0.7494371162085136,-1974.0572916666667
97,-758.0,1,109,0.747188804859888,-1961.520618556701
98,-515.0,1,112,0.7449472384453084,-1946.7602040816328
99,-837.0,1,117,0.7427123967299725,-1935.550505050505
100,-269.0,1,77,0.7404842595397826,-1918.885
101,-435.0,1,74,0.7382628067611632,-1895.095
102,-360.0,1,78,0.7360480183408797,-1868.85
103,-553.0,1,82,0.7338398742858571,-1840.84
104,-2000.0,1,276,0.7316383546629995,-1834.635
105,-773.0,1,134,0.7294434395990105,-1811.77
106,-242.0,1,57,0.7272551092802134,-1786.585
107,-251.0,1,65,0.7250733439523728,-1761.585
108,-904.0,1,129,0.7228981239205157,-1733.61
109,-517.0,1,106,0.7207294295487541,-1706.295
110,-1618.0,1,212,0.7185672412601078,-1692.08
111,-192.0,1,64,0.7164115395363275,-1664.895
112,-363.0,1,78,0.7142623049177186,-1635.855
113,-249.0,1,63,0.7121195180029655,-1609.415
114,-725.0,1,122,0.7099831594489566,-1589.09
115,-181.0,1,54,0.7078532099706097,-1560.82
116,-1454.0,1,232,0.7057296503406979,-1546.925
117,-452.0,1,112,0.7036124613896758,-1521.785
118,-1060.0,1,156,0.7015016240055068,-1501.915
119,-801.0,1,150,0.6993971191334902,-1479.515
120,-303.0,1,86,0.6972989277760897,-1467.615
121,-527.0,1,88,0.6952070309927615,-1443.805
122,-482.0,1,110,0.6931214098997832,-1417.385
123,-211.0,1,63,0.6910420456700839,-1393.04
124,-240.0,1,83,0.6889689195330736,-1365.39
125,-603.0,1,142,0.6869020127744744,-1341.965
126,-556.0,1,112,0.684841306736151,-1316.92
127,-176.0,1,65,0.6827867828159425,-1292.845
128,-415.0,1,75,0.6807384224674947,-1282.345
129,-791.0,1,133,0.6786962072000923,-1260.805
130,-569.0,1,92,0.676660118578492,-1239.415
131,-349.0,1,68,0.6746301382227565,-1213.34
132,-235.0,1,68,0.6726062478080883,-1188.5
133,-153.0,1,62,0.6705884290646641,-1163.03
134,-275.0,1,66,0.66857666377747,-1153.54
135,-374.0,1,75,0.6665709337861376,-1134.05
136,-354.0,1,100,0.6645712209847792,-1119.03
137,-191.0,1,73,0.6625775073218249,-1105.55
138,-293.0,1,67,0.6605897747998594,-1083.865
139,-363.0,1,78,0.6586080054754598,-1059.86
140,-564.0,1,120,0.6566321814590335,-1040.035
141,-526.0,1,88,0.6546622849146564,-1017.02
142,-682.0,1,120,0.6526982980599124,-1000.1
143,-183.0,1,54,0.6507402031657327,-973.05
144,-81.0,1,64,0.6487879825562355,-944.805
145,-491.0,1,88,0.6468416186085668,-923.355
146,-123.0,1,53,0.6449010937527411,-896.325
147,-146.0,1,56,0.6429663904714829,-879.655
148,-193.0,1,49,0.6410374913000684,-869.845
149,-374.0,1,88,0.6391143788261682,-847.975
150,-511.0,1,78,0.6371970356896897,-831.73
151,-464.0,1,85,0.6352854445826206,-815.72
152,-176.0,1,63,0.6333795882488727,-789.375
153,-355.0,1,100,0.6314794494841262,-770.45
154,-204.0,1,70,0.6295850111356738,-768.51
155,-180.0,1,65,0.6276962561022668,-748.77
156,-151.0,1,58,0.62581316733396,-744.01
157,-163.0,1,68,0.623935727831958,-717.965
158,-114.0,1,58,0.6220639206484622,-709.165
159,-592.0,1,110,0.6201977288865168,-702.635
160,-253.0,1,67,0.6183371356998573,-701.075
161,-176.0,1,63,0.6164821242927577,-692.895
162,-17.0,1,42,0.6146326779198794,-686.725
163,-307.0,1,79,0.6127887798861198,-679.935
164,-82.0,1,49,0.6109504135464614,-665.525
165,-309.0,1,92,0.609117562305822,-661.305
166,-190.0,1,62,0.6072902096189046,-638.32
167,-412.0,1,86,0.6054683389900478,-627.73
168,-176.0,1,65,0.6036519339730777,-602.71
169,-225.0,1,58,0.6018409781711584,-592.6
170,-380.0,1,77,0.6000354552366449,-588.24
171,-56.0,1,44,0.598235348870935,-575.27
172,-257.0,1,69,0.5964406428243222,-562.96
173,-157.0,1,49,0.5946513208958493,-557.52
174,-119.0,1,49,0.5928673669331617,-552.09
175,-313.0,1,81,0.5910887648323622,-531.1
176,-343.0,1,77,0.5893154985378651,-517.25
177,-85.0,1,38,0.5875475520422515,-506.32
178,-529.0,1,103,0.5857849093861247,-498.35
179,-150.0,1,58,0.5840275546579663,-495.93
180,-231.0,1,62,0.5822754719939924,-481.02
181,-372.0,1,82,0.5805286455780104,-472.76
182,-63.0,1,48,0.5787870596412764,-471.05
183,-70.0,1,41,0.5770506984623526,-464.84
184,-206.0,1,59,0.5753195463669655,-456.57
185,-29.0,1,37,0.5735935877278646,-447.31
186,-122.0,1,64,0.571872806964681,-443.96
187,-272.0,1,81,0.5701571885437869,-437.21
188,-196.0,1,77,0.5684467169781556,-431.08
189,-133.0,1,46,0.5667413768272211,-430.59
190,-41.0,1,47,0.5650411526967395,-423.91
191,-204.0,1,74,0.5633460292386493,-417.39
192,-174.0,1,63,0.5616559911509333,-409.41
193,-42.0,1,47,0.5599710231774805,-387.2
194,-134.0,1,59,0.5582911101079481,-374.56
195,-263.0,1,73,0.5566162367776242,-369.66
196,-348.0,1,79,0.5549463880672914,-366.78
197,-145.0,1,41,0.5532815489030894,-360.65
198,44.0,1,39,0.5516217042563801,-355.06
199,-255.0,1,65,0.549966839143611,-349.24
200,-83.0,1,49,0.5483169386261801,-347.38
201,-170.0,1,63,0.5466719878103016,-344.73
202,-189.0,1,58,0.5450319718468707,-343.02
203,-185.0,1,56,0.5433968759313301,-339.34
204,-63.0,1,50,0.5417666853035361,-319.97
205,-57.0,1,44,0.5401413852476254,-312.81
206,-61.0,1,46,0.5385209610918825,-311.0
207,-261.0,1,58,0.5369053982086068,-311.1
208,-111.0,1,43,0.535294682013981,-303.17
209,-67.0,1,52,0.5336887979679391,-298.67
210,-37.0,1,43,0.5320877315740353,-282.86
211,-206.0,1,72,0.5304914683793133,-283.0
212,-47.0,1,38,0.5288999939741753,-279.84
213,-39.0,1,56,0.5273132939922528,-277.74
214,-150.0,1,71,0.525731354110276,-271.99
215,-285.0,1,74,0.5241541600479452,-273.03
216,-223.0,1,82,0.5225816975678014,-260.72
217,-42.0,1,47,0.521013952475098,-256.62
218,11.0,1,35,0.5194509106176727,-245.91
219,57.0,1,29,0.5178925578858197,-237.33
220,-112.0,1,58,0.5163388802121622,-235.42
221,-158.0,1,51,0.5147898635715258,-231.73
222,-120.0,1,49,0.5132454939808112,-228.11
223,-186.0,1,73,0.5117057574988688,-227.86
224,-339.0,1,60,0.5101706402263723,-228.85
225,-94.0,1,44,0.5086401283056932,-223.76
226,-151.0,1,47,0.5071142079207761,-219.71
227,-98.0,1,48,0.5055928652970137,-218.93
228,-142.0,1,52,0.5040760867011227,-216.2
229,15.0,1,33,0.5025638584410194,-208.14
230,96.0,1,29,0.5010561668656963,-201.49
231,-59.0,1,48,0.49955299836509925,-198.59
232,-194.0,1,51,0.49805433937000393,-198.18
233,-86.0,1,51,0.4965601763518939,-197.51
234,-49.0,1,38,0.49507049582283824,-195.25
235,-2.0,1,45,0.49358528433536975,-191.53
236,-111.0,1,58,0.49210452848236363,-189.1
237,16.0,1,33,0.49062821489691655,-187.03
238,-23.0,1,33,0.4891563302522258,-184.33
239,-315.0,1,81,0.48768886126146915,-183.85
240,74.0,1,30,0.48622579467768473,-177.47
241,7.0,1,39,0.4847671172936517,-172.14
242,2.0,1,43,0.4833128159417707,-165.3
243,12.0,1,35,0.4818628774939454,-163.35
244,-87.0,1,40,0.48041728886146357,-163.41
245,49.0,1,35,0.4789760369948792,-158.01
246,-31.0,1,41,0.47753910888389456,-157.09
247,-77.0,1,47,0.4761064915572429,-156.4
248,-113.0,1,58,0.4746781720825711,-155.6
249,53.0,1,33,0.4732541375663234,-151.33
250,-35.0,1,43,0.4718343751536244,-146.57
251,-21.0,1,46,0.47041887202816357,-142.14
252,-121.0,1,51,0.4690076154120791,-141.59
253,-55.0,1,44,0.46760059256584285,-138.59
254,-211.0,1,48,0.4661977907881453,-138.66
255,12.0,1,35,0.4647991974157809,-136.74
256,-59.0,1,46,0.46340479982353355,-135.82
257,-62.0,1,48,0.46201458542406293,-134.81
258,14.0,1,33,0.4606285416677907,-133.53
259,-22.0,1,46,0.45924665604278736,-127.83
260,-44.0,1,36,0.457868916074659,-125.74
261,-85.0,1,51,0.45649530932643506,-124.83
262,-36.0,1,45,0.45512582339845575,-125.02
263,-2.0,1,45,0.45376044592826037,-121.97
264,-123.0,1,51,0.4523991645904756,-122.38
265,1.0,1,43,0.45104196709670413,-119.28
266,-74.0,1,43,0.449688841195414,-118.12
267,-88.0,1,55,0.4483397746718278,-114.88
268,91.0,1,31,0.4469947553478123,-112.21
269,-13.0,1,55,0.44565377108176885,-110.09
270,5.0,1,39,0.44431680976852356,-106.24
271,-202.0,1,70,0.44298385933921797,-107.7
272,13.0,1,35,0.4416549077612003,-105.0
