episode,reward,success,steps,epsilon,avg100
1,-2526.0,0,300,0.997,-2526.0
2,-2294.0,0,300,0.994009,-2410.0
3,-2690.0,0,300,0.991026973,-2503.3333333333335
4,-2326.0,0,300,0.988053892081,-2459.0
5,-2815.5,0,300,0.985089730404757,-2530.3
6,-2206.0,0,300,0.9821344612135428,-2476.25
7,-2410.0,0,300,0.9791880578299021,-2466.785714285714
8,-2684.0,0,300,0.9762504936564125,-2493.9375
9,-2262.0,0,300,0.9733217421754432,-2468.1666666666665
10,-2709.0,0,300,0.9704017769489168,-2492.25
11,-2602.5,0,300,0.9674905716180701,-2502.2727272727275
12,-2606.5,0,300,0.9645880999032158,-2510.9583333333335
13,-2637.5,0,300,0.9616943356035061,-2520.6923076923076
14,-2971.0,0,300,0.9588092525966956,-2552.8571428571427
15,-2246.5,0,300,0.9559328248389055,-2532.4333333333334
16,-2519.0,0,300,0.9530650263643888,-2531.59375
17,-3214.5,0,300,0.9502058312852957,-2571.764705882353
18,-2409.0,0,300,0.9473552137914398,-2562.722222222222
19,-2285.0,0,300,0.9445131481500655,-2548.1052631578946
20,-2157.0,0,300,0.9416796087056153,-2528.55
21,-2127.5,0,300,0.9388545698794984,-2509.4523809523807
22,-2455.0,0,300,0.93603800616986,-2506.9772727272725
23,-2526.5,0,300,0.9332298921513504,-2507.8260869565215
24,-2179.0,0,300,0.9304302024748964,-2494.125
25,-2721.5,0,300,0.9276389118674717,-2503.22
26,-2539.0,0,300,0.9248559951318693,-2504.596153846154
27,-2283.0,0,300,0.9220814271464737,-2496.3888888888887
28,-2364.0,0,300,0.9193151828650342,-2491.660714285714
29,-1842.0,0,300,0.9165572373164391,-2469.2586206896553
30,-1957.0,0,300,0.9138075656044898,-2452.1833333333334
31,-2012.5,0,300,0.9110661429076764,-2438.0
32,-2469.5,0,300,0.9083329444789534,-2438.984375
33,-1998.0,0,300,0.9056079456455165,-2425.621212121212
34,-2408.0,0,300,0.90289112180858,-2425.1029411764707
35,-2458.5,0,300,0.9001824484431542,-2426.057142857143
36,-2518.0,0,300,0.8974819010978248,-2428.6111111111113
37,-2528.5,0,300,0.8947894553945313,-2431.310810810811
38,-2189.5,0,300,0.8921050870283477,-2424.9473684210525
39,-2245.0,0,300,0.8894287717672626,-2420.3333333333335
40,-1836.0,0,300,0.8867604854519608,-2405.725
41,-2403.5,0,300,0.884100203995605,-2405.670731707317
42,-2443.0,0,300,0.8814479033836181,-2406.559523809524
43,-2030.5,0,300,0.8788035596734672,-2397.813953488372
44,-2485.5,0,300,0.8761671489944468,-2399.806818181818
45,-2109.5,0,300,0.8735386475474635,-2393.3555555555554
46,-2428.5,0,300,0.8709180316048211,-2394.1195652173915
47,-2295.5,0,300,0.8683052775100066,-2392.021276595745
48,-2435.5,0,300,0.8657003616774767,-2392.9270833333335
49,-2506.0,0,300,0.8631032605924442,-2395.234693877551
50,-1983.5,0,300,0.860513950810667,-2387.0
51,-1893.5,0,300,0.857932408958235,-2377.323529411765
52,-2420.5,0,300,0.8553586117313603,-2378.153846153846
53,-2031.0,0,300,0.8527925358961662,-2371.603773584906
54,-1893.5,0,300,0.8502341582884777,-2362.75
55,-2433.0,0,300,0.8476834558136123,-2364.0272727272727
56,-1927.5,0,300,0.8451404054461714,-2356.2321428571427
57,-1904.0,0,300,0.8426049842298329,-2348.2982456140353
58,-2008.5,0,300,0.8400771692771434,-2342.439655172414
59,-1949.0,0,300,0.837556937769312,-2335.771186440678
60,-2075.5,0,300,0.835044266956004,-2331.4333333333334
61,-1918.5,0,300,0.8325391341551359,-2324.6639344262294
62,-2012.0,0,300,0.8300415167526705,-2319.6209677419356
63,-2257.5,0,300,0.8275513922024125,-2318.6349206349205
64,-2443.5,0,300,0.8250687380258053,-2320.5859375
65,-1978.0,0,300,0.8225935318117279,-2315.3153846153846
66,-2018.0,0,300,0.8201257512162927,-2310.810606060606
67,-1841.5,0,300,0.8176653739626438,-2303.805970149254
68,-2116.5,0,300,0.8152123778407558,-2301.051470588235
69,-1848.0,0,300,0.8127667407072335,-2294.485507246377
