episode,reward,success,steps,epsilon,avg100
1,-1844.5,0,300,0.99,-1844.5
2,-2297.0,0,300,0.9801,-2070.75
3,-2567.0,0,300,0.9702989999999999,-2236.1666666666665
4,-2232.5,0,300,0.96059601,-2235.25
5,-2198.5,0,300,0.9509900498999999,-2227.9
6,-2244.5,0,300,0.9414801494009999,-2230.6666666666665
7,-2917.0,0,300,0.9320653479069899,-2328.714285714286
8,-2558.0,0,300,0.92274469442792,-2357.375
9,-2925.5,0,300,0.9135172474836407,-2420.5
10,-2418.5,0,300,0.9043820750088043,-2420.3
11,-2837.5,0,300,0.8953382542587163,-2458.2272727272725
12,-2180.5,0,300,0.8863848717161291,-2435.0833333333335
13,-2446.5,0,300,0.8775210229989678,-2435.9615384615386
14,-2104.0,0,300,0.8687458127689781,-2412.25
15,-2129.0,0,300,0.8600583546412883,-2393.366666666667
16,-2060.0,0,300,0.8514577710948754,-2372.53125
17,-2710.0,0,300,0.8429431933839266,-2392.3823529411766
18,-2134.5,0,300,0.8345137614500874,-2378.0555555555557
19,-2322.0,0,300,0.8261686238355865,-2375.1052631578946
20,-2293.5,0,300,0.8179069375972307,-2371.025
21,-2235.5,0,300,0.8097278682212583,-2364.5714285714284
22,-2246.5,0,300,0.8016305895390458,-2359.2045454545455
23,-2229.5,0,300,0.7936142836436553,-2353.5652173913045
24,-1882.5,0,300,0.7856781408072188,-2333.9375
25,-1753.5,0,300,0.7778213593991465,-2310.72
26,-1876.5,0,300,0.7700431458051551,-2294.019230769231
27,-2016.0,0,300,0.7623427143471035,-2283.722222222222
28,-1478.5,0,300,0.7547192872036325,-2254.964285714286
29,-1590.0,0,300,0.7471720943315961,-2232.0344827586205
30,-2029.5,0,300,0.7397003733882802,-2225.2833333333333
31,-1969.0,0,300,0.7323033696543974,-2217.016129032258
32,-1725.0,0,300,0.7249803359578534,-2201.640625
33,-2103.0,0,300,0.7177305325982748,-2198.651515151515
34,-2269.0,0,300,0.7105532272722921,-2200.720588235294
35,-1899.0,0,300,0.7034476949995692,-2192.1
36,-1669.0,0,300,0.6964132180495735,-2177.5694444444443
37,-1840.0,0,300,0.6894490858690777,-2168.445945945946
38,-1806.5,0,300,0.682554595010387,-2158.9210526315787
39,-1498.0,0,300,0.6757290490602831,-2141.974358974359
40,-1811.5,0,300,0.6689717585696803,-2133.7125
41,-1937.0,0,300,0.6622820409839835,-2128.9146341463415
42,-1817.0,0,300,0.6556592205741436,-2121.4880952380954
43,-1672.0,0,300,0.6491026283684022,-2111.0348837209303
44,-1660.5,0,300,0.6426116020847181,-2100.7954545454545
45,-1724.0,0,300,0.6361854860638709,-2092.4222222222224
46,-1568.0,0,300,0.6298236312032323,-2081.021739130435
47,-1793.0,0,300,0.6235253948912,-2074.8936170212764
48,-1921.0,0,300,0.617290140942288,-2071.6875
49,-1704.5,0,300,0.6111172395328651,-2064.1938775510203
