episode,reward,success,steps,epsilon,avg100
1,-2796.0,0,300,0.997,-2796.0
2,-2851.0,0,300,0.994009,-2823.5
3,-2460.5,0,300,0.991026973,-2702.5
4,-2418.0,0,300,0.988053892081,-2631.375
5,-2511.0,0,300,0.985089730404757,-2607.3
6,-1917.0,0,300,0.9821344612135428,-2492.25
7,-2580.5,0,300,0.9791880578299021,-2504.8571428571427
8,-2719.0,0,300,0.9762504936564125,-2531.625
9,-2721.0,0,300,0.9733217421754432,-2552.6666666666665
10,-2304.5,0,300,0.9704017769489168,-2527.85
11,-2827.0,0,300,0.9674905716180701,-2555.0454545454545
12,-2358.0,0,300,0.9645880999032158,-2538.625
13,-2140.5,0,300,0.9616943356035061,-2508.0
14,-2637.0,0,300,0.9588092525966956,-2517.214285714286
15,-2368.5,0,300,0.9559328248389055,-2507.3
16,-2323.0,0,300,0.9530650263643888,-2495.78125
17,-2492.5,0,300,0.9502058312852957,-2495.5882352941176
18,-2129.0,0,300,0.9473552137914398,-2475.222222222222
19,-2164.0,0,300,0.9445131481500655,-2458.842105263158
20,-2383.5,0,300,0.9416796087056153,-2455.075
21,-2512.0,0,300,0.9388545698794984,-2457.785714285714
22,-2622.5,0,300,0.93603800616986,-2465.2727272727275
23,-2536.5,0,300,0.9332298921513504,-2468.3695652173915
24,-1920.0,0,300,0.9304302024748964,-2445.5208333333335
25,-2544.5,0,300,0.9276389118674717,-2449.48
26,-2581.5,0,300,0.9248559951318693,-2454.5576923076924
27,-2086.5,0,300,0.9220814271464737,-2440.925925925926
28,-2125.5,0,300,0.9193151828650342,-2429.660714285714
29,-2471.0,0,300,0.9165572373164391,-2431.0862068965516
30,-2549.0,0,300,0.9138075656044898,-2435.016666666667
31,-1612.5,0,300,0.9110661429076764,-2408.483870967742
32,-2043.5,0,300,0.9083329444789534,-2397.078125
33,-2527.5,0,300,0.9056079456455165,-2401.030303030303
34,-2263.0,0,300,0.90289112180858,-2396.970588235294
35,-2409.5,0,300,0.9001824484431542,-2397.3285714285716
36,-2038.0,0,300,0.8974819010978248,-2387.347222222222
37,-2743.5,0,300,0.8947894553945313,-2396.972972972973
38,-2134.5,0,300,0.8921050870283477,-2390.065789473684
39,-2552.5,0,300,0.8894287717672626,-2394.230769230769
40,-2238.0,0,300,0.8867604854519608,-2390.325
