episode,reward,success,steps,epsilon,avg100
1,-2694.5,0,300,0.997,-2694.5
2,-2483.0,0,300,0.994009,-2588.75
3,-2535.0,0,300,0.991026973,-2570.8333333333335
4,-2671.0,0,300,0.988053892081,-2595.875
5,-2995.5,0,300,0.985089730404757,-2675.8
6,-2465.5,0,300,0.9821344612135428,-2640.75
7,-2679.0,0,300,0.9791880578299021,-2646.214285714286
8,-2479.0,0,300,0.9762504936564125,-2625.3125
9,-2562.0,0,300,0.9733217421754432,-2618.277777777778
10,-2805.5,0,300,0.9704017769489168,-2637.0
11,-2565.0,0,300,0.9674905716180701,-2630.4545454545455
12,-2337.0,0,300,0.9645880999032158,-2606.0
13,-2664.5,0,300,0.9616943356035061,-2610.5
14,-2768.0,0,300,0.9588092525966956,-2621.75
15,-2169.0,0,300,0.9559328248389055,-2591.5666666666666
16,-2442.0,0,300,0.9530650263643888,-2582.21875
17,-2106.5,0,300,0.9502058312852957,-2554.235294117647
18,-2906.5,0,300,0.9473552137914398,-2573.8055555555557
19,-2952.5,0,300,0.9445131481500655,-2593.7368421052633
20,-2219.0,0,300,0.9416796087056153,-2575.0
21,-2040.0,0,300,0.9388545698794984,-2549.5238095238096
22,-2548.0,0,300,0.93603800616986,-2549.4545454545455
23,-2144.0,0,300,0.9332298921513504,-2531.8260869565215
24,-2092.0,0,300,0.9304302024748964,-2513.5
25,-2110.5,0,300,0.9276389118674717,-2497.38
26,-2583.5,0,300,0.9248559951318693,-2500.6923076923076
27,-2501.5,0,300,0.9220814271464737,-2500.722222222222
28,-1975.5,0,300,0.9193151828650342,-2481.964285714286
29,-1696.5,0,300,0.9165572373164391,-2454.8793103448274
30,-2517.0,0,300,0.9138075656044898,-2456.95
31,-2190.0,0,300,0.9110661429076764,-2448.3387096774195
32,-2484.5,0,300,0.9083329444789534,-2449.46875
33,-1763.5,0,300,0.9056079456455165,-2428.681818181818
34,-2194.5,0,300,0.90289112180858,-2421.794117647059
35,-2056.0,0,300,0.9001824484431542,-2411.342857142857
36,-2036.0,0,300,0.8974819010978248,-2400.9166666666665
37,-2119.5,0,300,0.8947894553945313,-2393.310810810811
38,-2193.5,0,300,0.8921050870283477,-2388.0526315789475
39,-2434.0,0,300,0.8894287717672626,-2389.230769230769
40,-2798.5,0,300,0.8867604854519608,-2399.4625
41,-1993.0,0,300,0.884100203995605,-2389.548780487805
42,-2276.5,0,300,0.8814479033836181,-2386.8571428571427
43,-1730.5,0,300,0.8788035596734672,-2371.593023255814
44,-2374.5,0,300,0.8761671489944468,-2371.659090909091
45,-2151.0,0,300,0.8735386475474635,-2366.7555555555555
46,-2240.5,0,300,0.8709180316048211,-2364.0108695652175
47,-2283.0,0,300,0.8683052775100066,-2362.2872340425533
48,-1962.5,0,300,0.8657003616774767,-2353.9583333333335
49,-1865.0,0,300,0.8631032605924442,-2343.9795918367345
50,-2169.0,0,300,0.860513950810667,-2340.48
51,-1976.5,0,300,0.857932408958235,-2333.343137254902
52,-2344.0,0,300,0.8553586117313603,-2333.548076923077
53,-1648.0,0,300,0.8527925358961662,-2320.6132075471696
54,-2355.0,0,300,0.8502341582884777,-2321.25
55,-2498.5,0,300,0.8476834558136123,-2324.4727272727273
56,-2018.0,0,300,0.8451404054461714,-2319.0
57,-1895.0,0,300,0.8426049842298329,-2311.561403508772
58,-2177.0,0,300,0.8400771692771434,-2309.2413793103447
59,-2149.5,0,300,0.837556937769312,-2306.5338983050847
60,-1953.0,0,300,0.835044266956004,-2300.641666666667
61,-2127.0,0,300,0.8325391341551359,-2297.7950819672133
62,-2310.5,0,300,0.8300415167526705,-2298.0
63,-2007.5,0,300,0.8275513922024125,-2293.3888888888887
64,-2104.0,0,300,0.8250687380258053,-2290.4296875
65,-2263.5,0,300,0.8225935318117279,-2290.0153846153844
66,-2266.5,0,300,0.8201257512162927,-2289.659090909091
67,-2234.5,0,300,0.8176653739626438,-2288.8358208955224
68,-2043.0,0,300,0.8152123778407558,-2285.220588235294
69,-1867.5,0,300,0.8127667407072335,-2279.1666666666665
70,-2200.5,0,300,0.8103284404851119,-2278.042857142857
71,-2682.5,0,300,0.8078974551636565,-2283.739436619718
72,-2342.5,0,300,0.8054737627981655,-2284.5555555555557
73,-1867.0,0,300,0.803057341509771,-2278.8356164383563
74,-1911.0,0,300,0.8006481694852418,-2273.864864864865
75,-1782.5,0,300,0.798246224976786,-2267.3133333333335
76,-1914.5,0,300,0.7958514863018556,-2262.6710526315787
77,-2131.0,0,300,0.79346393184295,-2260.961038961039
78,-2441.5,0,300,0.7910835400474212,-2263.275641025641
79,-1482.5,0,300,0.7887102894272789,-2253.3924050632913
80,-2155.5,0,300,0.7863441585589971,-2252.16875
81,-2070.0,0,300,0.78398512608332,-2249.91975308642
82,-1890.5,0,300,0.7816331707050701,-2245.5365853658536
83,-1698.0,0,300,0.7792882711929549,-2238.9397590361446
84,-1518.5,0,300,0.776950406379376,-2230.3630952380954
85,-1853.5,0,300,0.7746195551602378,-2225.929411764706
86,-1930.0,0,300,0.7722956964947572,-2222.4883720930234
87,-2812.5,0,300,0.7699788094052729,-2229.270114942529
88,-2260.5,0,300,0.767668872977057,-2229.625
89,-1489.0,0,300,0.7653658663581259,-2221.303370786517
90,-1801.5,0,300,0.7630697687590515,-2216.6388888888887
91,-1672.0,0,300,0.7607805594527743,-2210.653846153846
92,-2371.0,0,300,0.7584982177744161,-2212.396739130435
93,-1893.0,0,300,0.7562227231210928,-2208.962365591398
94,-2378.5,0,300,0.7539540549517295,-2210.7659574468084
95,-1938.0,0,300,0.7516921927868743,-2207.8947368421054
96,-1996.5,0,300,0.7494371162085136,-2205.6927083333335
97,-1457.0,1,242,0.747188804859888,-2197.9742268041236
98,-1955.5,0,300,0.7449472384453084,-2195.5
99,-1965.0,0,300,0.7427123967299725,-2193.1717171717173
100,-1782.5,0,300,0.7404842595397826,-2189.065
101,-1867.0,0,300,0.7382628067611632,-2180.79
102,-1835.0,0,300,0.7360480183408797,-2174.31
103,-2001.5,0,300,0.7338398742858571,-2168.975
104,-1823.5,0,300,0.7316383546629995,-2160.5
105,-1589.0,1,264,0.7294434395990105,-2146.435
106,-1473.5,0,300,0.7272551092802134,-2136.515
107,-1492.0,0,300,0.7250733439523728,-2124.645
108,-2110.5,0,300,0.7228981239205157,-2120.96
109,-2030.5,0,300,0.7207294295487541,-2115.645
110,-1683.0,0,300,0.7185672412601078,-2104.42
111,-1892.5,0,300,0.7164115395363275,-2097.695
